S/N,ACTIVITY_START_DATE,DATASET_NAME,SITE,TREATMENT,ACTIVITY_MEDIA_NAME,CHLA,ALK,TDP,TDN,K,MG,SRSI,MN,CL,FE,SO4,DOC,NO3,PARTN,NA,COND,NH3,DIC,PARTP,PH,CA,NO2,PARTC,SECCHI_DEPTHS,MEAN_DAILY_DISCHARGE
1,2015-03-16,Chemistry,Site1,none (reference/control),Lake Water,1.85,123.39,3.00,295.00,0.30,0.76,2.46,0.00,0.22,0.42,1.31,1510.80,46.00,45.00,1.03,29.00,22.55,190.00,4.00,6.67,2.55,1.75,400.00,4.54,0.01
2,2015-05-11,Chemistry,Site1,none (reference/control),Lake Water,2.78,155.00,3.00,234.00,0.45,0.81,2.09,0.02,0.25,0.02,2.26,598.00,21.00,93.00,1.08,27.00,22.55,155.00,6.00,6.96,2.87,1.00,3754.00,3.50,0.01
3,2015-05-11,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,2.13,103.00,11.00,634.00,0.35,0.00,4.89,0.00,0.13,0.50,1.80,1871.00,32.00,169.00,1.68,25.00,22.55,184.00,9.00,5.96,3.49,2.00,1416.00,4.54,0.02
4,2015-05-11,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,0.03,0.00,15.00,657.00,0.25,0.61,3.73,0.00,0.13,0.48,1.18,2910.00,0.00,27.00,0.79,38.00,22.55,227.00,3.00,4.92,1.54,3.00,683.00,4.54,0.00
5,2015-05-11,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,0.11,13.00,9.00,486.00,0.11,0.62,4.19,0.00,0.17,0.34,2.56,1488.00,33.00,0.00,0.90,21.00,22.55,157.00,3.00,5.01,1.83,1.00,328.00,4.54,0.01
6,2015-05-11,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,3.37,150.00,4.00,267.00,0.47,0.82,2.17,0.00,0.27,0.04,2.24,594.00,15.00,79.00,1.11,21.00,22.55,147.00,6.00,6.96,2.83,1.00,1363.00,4.54,0.05
7,2015-05-14,Chemistry,Site3,none (reference/control),Lake Water,3.75,245.00,2.00,255.00,0.36,0.81,0.40,0.02,0.20,0.00,1.58,556.00,9.00,39.50,0.65,21.50,22.55,158.00,6.00,6.83,2.01,0.50,521.50,4.54,0.01
8,2015-05-19,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,0.33,88.00,10.00,574.00,0.31,0.79,4.39,0.00,0.07,0.31,1.53,2046.00,28.00,42.00,1.19,24.00,22.55,184.00,6.00,5.71,2.94,2.00,526.00,4.54,0.08
9,2015-05-19,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,0.04,0.00,12.00,506.00,0.17,0.56,3.17,0.02,0.10,0.60,1.06,2430.00,4.00,51.00,0.68,25.00,22.55,131.00,4.00,4.53,1.52,3.00,724.00,4.54,0.01
10,2015-05-19,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,0.22,18.00,6.00,417.00,0.09,0.52,3.75,0.00,0.10,0.24,2.07,1703.00,5.00,14.00,0.69,21.00,22.55,168.00,5.00,4.84,1.62,1.00,454.00,4.54,0.04
11,2015-05-19,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,3.57,152.00,2.00,234.00,0.41,0.77,2.18,0.00,0.25,0.00,2.32,637.00,18.00,72.00,1.05,27.00,22.55,189.00,6.00,6.88,2.75,0.00,769.00,4.54,0.11
12,2015-05-19,Chemistry,Site4,fertilized,Lake Water,6.93,90.00,6.00,323.00,0.22,0.50,0.52,0.00,0.23,0.09,1.19,729.00,2.50,194.50,0.87,17.00,46.72,125.50,19.50,6.50,1.55,0.00,1359.00,2.25,0.00
13,2015-05-20,Chemistry,Site2,none (reference/control),Lake Water,1.79,168.00,3.00,155.00,0.36,0.62,0.78,0.00,0.21,0.00,1.74,328.00,1.00,0.00,0.70,24.00,22.55,211.00,4.00,7.03,2.71,0.00,45.00,6.00,0.01
14,2015-05-25,Chemistry,Site1,none (reference/control),Lake Water,2.51,166.00,2.00,196.00,0.41,0.76,2.19,0.00,0.25,0.00,2.32,604.00,9.00,64.00,1.03,27.00,22.55,183.00,4.00,7.05,2.71,1.00,715.00,3.00,0.01
15,2015-05-25,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,175.00,9.00,508.00,0.34,0.87,4.62,0.00,0.16,0.34,1.78,1843.00,8.00,320.00,1.36,29.00,22.55,265.00,45.00,6.22,3.26,2.00,3628.00,4.54,0.01
16,2015-05-25,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,9.00,476.00,0.20,0.46,4.45,0.00,2.96,0.47,1.41,2659.00,1.00,34.00,0.70,31.00,22.55,258.00,4.00,4.21,1.23,3.00,572.00,4.54,0.00
17,2015-05-25,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,21.00,6.00,420.00,0.08,0.50,4.31,0.00,0.14,0.31,2.38,1557.00,11.00,14.00,0.80,23.00,22.55,290.00,2.00,4.80,1.61,2.00,349.00,4.54,0.01
18,2015-05-25,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,162.00,3.00,205.00,0.41,0.76,2.26,0.00,0.24,0.00,2.20,610.00,8.00,51.00,1.05,27.00,22.55,187.00,4.00,6.98,2.73,1.00,963.00,4.54,0.08
19,2015-05-28,Chemistry,Site3,none (reference/control),Lake Water,1.88,242.00,2.00,215.00,0.37,0.81,0.35,0.00,0.21,0.00,1.56,575.00,1.00,59.00,0.67,22.00,22.55,140.50,9.00,6.94,2.00,0.00,742.00,4.54,0.01
20,2015-06-01,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,174.00,10.00,557.00,0.29,1.00,5.01,0.00,0.10,0.37,1.42,1957.00,12.00,5.00,1.58,30.00,22.55,249.00,4.00,6.21,3.66,2.00,315.00,4.54,0.01
21,2015-06-01,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,11.00,543.00,0.18,0.51,4.68,0.00,0.12,0.52,1.06,3014.00,0.00,32.00,0.80,36.00,22.55,245.00,30.00,4.27,1.36,4.00,854.00,4.54,0.00
22,2015-06-01,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,25.00,5.00,402.00,0.06,0.51,4.77,0.00,0.17,0.30,2.32,1640.00,9.00,0.00,0.83,21.00,22.55,293.00,7.00,4.96,1.65,2.00,466.00,4.54,0.00
