SN,Water Type,PARAMETERS,Meaning,Definition,Range for drinking,Health Consideration
1,Drinking water,ALK,Alkalinity,water body's ability to resist pH changes when acidic substances are introduced.,20 to 200 ,
2,Drinking water,CL,chloride,Chloride; often expressed as Cl-; is a common anion in water chemistry that comes from dissolved sodium chloride (table salt) and other sources. It's a key parameter measured to assess water quality; especially its salinity; taste; and potential corrosive effects in drinking water and environmental systems.,<= 250,A guideline value is not necessary as health effects are not of concern at levels found in drinking water.
3,Drinking water,SO4,sulphate,In water chemistry; sulfate refers to the sulfate ion (SO4^2-); a chemical species that can be naturally present or introduced through human activities. Monitoring sulfate levels is important to assess water quality and potential sources of contamination; as high concentrations can impact water's taste; odor; and potential for corrosion., <= 500,High levels (above 500 mg/L) can cause physiological effects such as diarrhoea or dehydration
4,Drinking water, CA,Calcium, Calcium (Ca) is measured to assess water hardness and its potential impact on scaling and corrosion in plumbing and industrial processes,None ,guideline value not necessary; calcium contributes to hardness.
5,Drinking water,MG,Magnesium,It plays a vital role in water chemistry and is a major component of water hardness. Magnesium levels in water can impact taste; the formation of scale in pipes; and the suitability of water for various industrial and domestic uses. Monitoring magnesium concentration is important for managing water quality and optimizing water treatment processes,None ,No evidence of adverse health effects from magnesium in drinking water; therefore a guideline value is not necessary.
6,Drinking water,NA,Sodium,Sodium is a common element found in natural water sources; and its presence can come from various sources; including natural mineral deposits and human activities. Monitoring sodium levels is important; as excessive sodium in drinking water can have health implications; particularly for individuals on low-sodium diets or those with specific health conditions.,None ,For persons on strict sodium reduced diets applying to all sources; levels in drinking water should be below 20 mg/L
7,Drinking water, K,Potassium,"In water chemistry parameters for drinking water; ""potassium"" refers to the concentration of the essential mineral potassium (K+). It is an important electrolyte that plays a role in various physiological functions. ",One - Ten (1-10),Not a concern for general population; those with kidney disease or other conditions; such as heart disease; coronary artery disease; hypertension or diabetes; and those who are taking medications that interfere with normal body potassium handling should avoid the consumption of water treated by water softeners using potassium chloride
8,Drinking water,FE,Iron,Iron in water chemistry parameters for drinking water refers to the presence of dissolved or particulate iron in the water supply,<= 0.3,No evidence exists of dietary iron toxicity in the general population.
9,Drinking water, MN,Manganese,Manganese in freshwater exists in two primary oxidation states: soluble manganese(II) and insoluble manganese(IV); influenced by factors like pH; oxygen levels; and temperature. Its presence and form are affected by varying chemical compositions; organic matter; and environmental conditions in freshwater systems; impacting its solubility and potential effects on water quality.,0.12,The Human Health for the consumption of Water + Organism criterion for manganese is not based on toxic effects; but rather is intended to minimize objectionable qualities such as laundry stains and objectionable tastes in beverages.  Consuming water with high levels of manganese over an extended period can have adverse health effects. It might affect the nervous system; particularly in infants and children
10,Drinking water,CHLA,Chlorophyll-a,It's a green pigment found in plants and algae; responsible for the absorption of light energy during photosynthesis.,Chlorophyll-a is not a direct indicator of drinking water safety,
