CHLA,ALK,TDP,TDN,K,MG,SRSI,MN,CL,FE,SO4,DOC,NO3,PARTN,NA,COND,NH3,DIC,PARTP,PH,CA,NO2,PARTC,SECCHI_DEPTHS,MEAN_DAILY_DISCHARGE
1.6475,146.8,3,295,0.35,0.69,2.457,0,0.2,0.265,1.36,1238.5,46,45,0.98,29,17,190,4,6.67,2.545,1,400,4.25,0.004
2.78,155,3,234,0.45,0.81,2.089,0.0233,0.25,0.02,2.26,598,21,93,1.08,27,17,155,6,6.96,2.87,1,3754,3.5,0.004
2.13,103,11,634,0.35,0,4.885,0,0.13,0.5,1.8,1871,32,169,1.68,25,17,184,9,5.96,3.49,2,1416,4.25,0.02
0.03,0,15,657,0.25,0.61,3.731,0,0.13,0.48,1.18,2910,0,27,0.79,38,17,227,3,4.92,1.54,3,683,4.25,0.003
0.11,13,9,486,0.11,0.62,4.19,0,0.17,0.34,2.56,1488,33,0,0.9,21,17,157,3,5.01,1.83,1,328,4.25,0.0123
3.37,150,4,267,0.47,0.82,2.165,0,0.27,0.04,2.24,594,15,79,1.11,21,17,147,6,6.96,2.83,1,1363,4.25,0.0512
3.75,245,2,255,0.36,0.81,0.4035,0.0163,0.2,0,1.58,556,9,39.5,0.65,21.5,17,158,6,6.83,2.01,0.5,521.5,4.25,0.004
0.33,88,10,574,0.31,0.79,4.391,0,0.07,0.31,1.53,2046,28,42,1.19,24,17,184,6,5.71,2.94,2,526,4.25,0.075
0.04,0,12,506,0.17,0.56,3.17,0.0216,0.1,0.6,1.06,2430,4,51,0.68,25,17,131,4,4.53,1.52,3,724,4.25,0.011
0.22,18,6,417,0.09,0.52,3.748,0,0.1,0.24,2.07,1703,5,14,0.69,21,17,168,5,4.84,1.62,1,454,4.25,0.0433
3.57,152,2,234,0.41,0.77,2.178,0,0.25,0,2.32,637,18,72,1.05,27,17,189,6,6.88,2.75,0,769,4.25,0.1106
2.51,166,2,196,0.41,0.76,2.191,0,0.25,0,2.32,604,9,64,1.03,27,17,183,4,7.05,2.71,1,715,3,0.004
1.6475,175,9,508,0.34,0.87,4.618,0,0.16,0.34,1.78,1843,8,320,1.36,29,17,265,45,6.22,3.26,2,3628,4.25,0.01
1.6475,0,9,476,0.2,0.46,4.454,0,2.96,0.47,1.41,2659,1,34,0.7,31,17,258,4,4.21,1.23,3,572,4.25,0.002
1.6475,21,6,420,0.08,0.5,4.311,0,0.14,0.31,2.38,1557,11,14,0.8,23,17,290,2,4.80,1.61,2,349,4.25,0.006
1.6475,162,3,205,0.41,0.76,2.257,0,0.24,0,2.2,610,8,51,1.05,27,17,187,4,6.98,2.73,1,963,4.25,0.0834
1.875,242,2,215,0.37,0.805,0.35,0,0.205,0,1.555,575,1,59,0.67,22,17,140.5,9,6.94,1.995,0,742,4.25,0.004
1.6475,174,10,557,0.29,1,5.006,0,0.1,0.37,1.42,1957,12,5,1.58,30,17,249,4,6.21,3.66,2,315,4.25,0.006
1.6475,0,11,543,0.18,0.51,4.678,0,0.12,0.52,1.06,3014,0,32,0.8,36,17,245,30,4.27,1.36,4,854,4.25,0.0011
1.6475,25,5,402,0.06,0.51,4.767,0,0.17,0.3,2.32,1640,9,0,0.83,21,17,293,7,4.96,1.65,2,466,4.25,0.0031
1.6475,163,2,228,0.42,0.76,2.139,0,0.25,0,2.3,615,0,42,1.05,26,17,173,7,7.05,2.69,1,797,4.25,0.0543
0.69,332,2,169,0.415,0.67,0.754,0,0.21,0,1.675,324,0.5,0,0.765,25,17,184.5,6.5,7.21,2.875,0,528,5,0.004
1.6475,150,10,648,0.25,1.02,5.073,0,0.05,0.57,1.16,2188,16,0,1.69,30,17,230,2,6.13,4.23,2,332,4.25,0.017
1.6475,0,8,579,0.14,0.59,4.542,0,0.1,0.6,0.75,3030,0,0,0.89,36,17,252,4,4.20,1.55,3,450,4.25,0.0026
1.6475,18,6,511,0.04,0.61,4.769,0,0.12,0.41,2.16,1840,5,0,1.01,22,17,304,2,4.86,1.99,2,296,4.25,0.0056
1.6475,149,2,248,0.44,0.85,2.089,0,0.24,0,2.18,662,1,30,1.15,27,17,169,7,7.05,2.94,0,986,4.25,0.0551
1.385,234,3,246,0.395,0.855,0.3005,0,0.19,0,1.49,576,0.5,0,0.705,21,17,133,6,7.08,2.08,1,788.5,4.25,0.004
1.6475,257,15,773,0.1,0.62,5.324,0.0152,0.11,0.44,1.83,2209,24,0,1.08,38,17,355,9,6.40,2.04,3,1114,4.25,0.001
1.6475,0,10,637,0.18,0.68,4.899,0,0.12,0.7,0.54,3470,4,81,1.03,35,17,269,30,4.26,1.85,4,3127,4.25,0.0001
1.6475,24,8,522,0.4,1.32,4.433,0.0216,0.18,0.69,0.97,1861,4,0,2.25,22,17,394,5,4.94,5.46,2,534,4.25,0.0007
1.6475,162,3,226,0.46,0.86,2.103,0,0.23,0,2.19,641,0,0,1.18,37,17,170,4,7.26,3,1,735,4.25,0.0293
0.52,168,2,171,0.42,0.65,0.734,0,0.22,0,1.69,333,1,0,0.74,25,17,182,3,7.23,2.86,0,393,7.75,0.004
1.315,152,3,252.5,0.45,0.815,2.059,0,0.255,0,2.215,629.5,1,0,1.135,22,17,162,4.5,7.22,2.92,0,501,3.25,0.004
1.6475,0,8,601,0.14,0.71,5.259,0,0.09,0.68,0.28,3646,0,0,1.03,36,17,255,3,4.25,1.97,5,372,4.25,0.001
1.6475,35,8,557,0.07,0.61,4.929,0,0.06,0.46,1.38,2056,3,0,0.99,21,17,348,4,4.97,2.01,2,407,4.25,0.001
1.6475,202,5,241,0.48,0.84,2.113,0,0.24,0,2.19,636,3,315,1.18,27,17,161,32,7.17,2.96,0,10160,4.25,0.0218
1.005,253,2.5,300,0.4,0.815,0.255,0,0.195,0.01,1.42,572.5,1,11.5,0.705,21,17,132.5,4.5,6.91,2.005,0,570.5,4.25,0.004
1.6475,146.8,18,815,0.25,1.47,6.017,0,0.08,0.75,0.66,2339,43,14,2.08,36,17,302,4,6.43,5.59,3,541,4.25,0.004
1.6475,0,9,723,0.11,0.71,4.604,0,0.09,0.67,0.23,3736,2,0,1,38,17,280,6,4.21,2,4,1147,4.25,0.0011
1.6475,24,9,630,0.09,0.69,5.218,0,0.07,0.57,0.96,2512,3,0,1.06,22,17,438,3,4.96,2.35,2,476,4.25,0.0011
1.6475,152,3,249,0.47,0.83,2.008,0,0.24,0,2.19,618,2,21,1.22,26,17,148,4,7.42,2.93,0,733,4.25,0.0225
0.495,326,2.5,184,0.44,0.675,0.7085,0,0.195,0,1.695,331,1.5,0,0.81,24.5,17,181.5,3,7.29,2.935,0,299.5,9,0.004
1.8,318,2,245,0.485,0.855,2.053,0,0.255,0,2.195,608,2.5,62,1.235,26.5,17,166.5,4,7.23,3.02,0.5,516.5,3.1,0.004
1.6475,238,21,869,0.25,1.47,6.804,0,0.12,0.79,0.75,2268,50,0,2.06,35,17,310,6,6.35,5.56,2,718,4.25,0.005
1.6475,29,9,621,0.1,0.68,5.244,0,0.11,0.67,0.73,2408,4,37,1.06,21,17,445,4,4.94,2.29,2,451,4.25,0.0015
1.6475,161,3,290,0.51,0.84,2.019,0,0.55,0,2.25,621,3,0,1.3,27,17,159,4,7.24,3,0,512,4.25,0.018
3.29,256,2.5,245.5,0.43,0.88,0.228,0,0.19,0,1.415,606.5,1.5,13,0.76,21,17,133.5,4.5,7.03,2.15,0,542,4.25,0.004
1.6475,166,1,272,0.48,0.87,2.026,0,0.26,0,2.19,614,2,848,1.25,28,17,158,4,7.41,3.06,0,658,4.25,0.0101
0.31,165,2,195,0.35,0.69,0.683,0,0.2,0.265,1.36,320,3,21,0.98,25,17,182,3,7.14,2.545,0,549,7,0.004
1.77,333,3,229.5,0.48,0.835,1.9915,0,0.235,0,2.165,608.5,1.5,28,1.205,27,17,168,6,7.28,2.96,0,738,4.5,0.004
1.6475,242,21,887,0.19,1.45,6.493,0,0.06,0.94,0.5,2651,40,46,1.89,35,17,298,6,6.33,5.74,3,1006,4.25,0.011
1.6475,0,10,740,0.06,0.81,4.153,0,0.07,0.73,0.1,4336,3,0,1.01,42,17,316,4,4.17,2.29,4,520,4.25,0.0025
1.6475,159,3,245,0.47,0.82,1.947,0,0.24,0,2.11,611,2,37,1.2,27,17,171,5,7.27,2.91,0,713,4.25,0.0187
1.305,251,2.5,263.5,0.405,0.835,0.229,0,0.18,0,1.385,603,2,35,0.735,21,17,137,3.5,7.02,2.04,0,690.5,4.25,0.004
1.6475,241,23,920,0.19,1.47,6.333,0.0217,0.06,1.08,0.46,2999,41,22,1.79,36,17,317,4,6.11,5.96,3,763,4.25,0.006
1.6475,0,8,713,0.06,0.79,3.982,0,0.04,0.74,0.12,4295,3,0,0.94,42,17,326,2,4.44,2.24,4,512,4.25,0.0008
1.6475,44,10,756,0.09,0.75,4.877,0,0.15,0.76,0.44,2796,4,11,1.07,23,17,318,4,4.89,2.57,2,634,4.25,0.0002
1.6475,179,3,266,0.44,0.81,1.998,0,0.24,0,2.12,608,1,27,1.18,26,17,158,2,7.40,2.91,0,987,4.25,0.0234
2.375,346,4,227,0.475,0.835,1.9635,0,0.24,0,2.15,608.5,1,32,1.215,27,17,167.5,4,7.23,2.96,0,548.5,4,0.004
