,CHLA,ALK,TDP,TDN,K,MG,SRSI,MN,CL,FE,SO4,DOC,NO3,PARTN,NA,COND,NH3,DIC,PARTP,PH,CA,NO2,PARTC,SECCHI_DEPTHS,MEAN_DAILY_DISCHARGE,clusters
0,1.6475,146.8,3.0,295.0,0.35,0.69,2.457,0.0,0.2,0.265,1.36,1238.5,46.0,45.0,0.98,29.0,17.0,190.0,4.0,6.67,2.545,1.0,400.0,4.25,0.004,0
1,2.78,155.0,3.0,234.0,0.45,0.81,2.089,0.0233,0.25,0.02,2.26,598.0,21.0,93.0,1.08,27.0,17.0,155.0,6.0,6.96,2.87,1.0,3754.0,3.5,0.004,0
2,2.13,103.0,11.0,634.0,0.35,0.0,4.885,0.0,0.13,0.5,1.8,1871.0,32.0,169.0,1.68,25.0,17.0,184.0,9.0,5.96,3.49,2.0,1416.0,4.25,0.02,3
3,0.03,0.0,15.0,657.0,0.25,0.61,3.731,0.0,0.13,0.48,1.18,2910.0,0.0,27.0,0.79,38.0,17.0,227.0,3.0,4.92,1.54,3.0,683.0,4.25,0.003,2
4,0.11,13.0,9.0,486.0,0.11,0.62,4.19,0.0,0.17,0.34,2.56,1488.0,33.0,0.0,0.9,21.0,17.0,157.0,3.0,5.01,1.83,1.0,328.0,4.25,0.0123,2
5,3.37,150.0,4.0,267.0,0.47,0.82,2.165,0.0,0.27,0.04,2.24,594.0,15.0,79.0,1.11,21.0,17.0,147.0,6.0,6.96,2.83,1.0,1363.0,4.25,0.0512,0
6,3.75,245.0,2.0,255.0,0.36,0.81,0.4035,0.0163,0.2,0.0,1.58,556.0,9.0,39.5,0.65,21.5,17.0,158.0,6.0,6.83,2.01,0.5,521.5,4.25,0.004,0
7,0.33,88.0,10.0,574.0,0.31,0.79,4.391,0.0,0.07,0.31,1.53,2046.0,28.0,42.0,1.19,24.0,17.0,184.0,6.0,5.71,2.94,2.0,526.0,4.25,0.075,2
8,0.04,0.0,12.0,506.0,0.17,0.56,3.17,0.0216,0.1,0.6,1.06,2430.0,4.0,51.0,0.68,25.0,17.0,131.0,4.0,4.53,1.52,3.0,724.0,4.25,0.011,2
9,0.22,18.0,6.0,417.0,0.09,0.52,3.748,0.0,0.1,0.24,2.07,1703.0,5.0,14.0,0.69,21.0,17.0,168.0,5.0,4.84,1.62,1.0,454.0,4.25,0.0433,2
10,3.57,152.0,2.0,234.0,0.41,0.77,2.178,0.0,0.25,0.0,2.32,637.0,18.0,72.0,1.05,27.0,17.0,189.0,6.0,6.88,2.75,0.0,769.0,4.25,0.1106,0
11,2.51,166.0,2.0,196.0,0.41,0.76,2.191,0.0,0.25,0.0,2.32,604.0,9.0,64.0,1.03,27.0,17.0,183.0,4.0,7.05,2.71,1.0,715.0,3.0,0.004,0
12,1.6475,175.0,9.0,508.0,0.34,0.87,4.618,0.0,0.16,0.34,1.78,1843.0,8.0,320.0,1.36,29.0,17.0,265.0,45.0,6.22,3.26,2.0,3628.0,4.25,0.01,3
13,1.6475,0.0,9.0,476.0,0.2,0.46,4.454,0.0,2.96,0.47,1.41,2659.0,1.0,34.0,0.7,31.0,17.0,258.0,4.0,4.21,1.23,3.0,572.0,4.25,0.002,2
14,1.6475,21.0,6.0,420.0,0.08,0.5,4.311,0.0,0.14,0.31,2.38,1557.0,11.0,14.0,0.8,23.0,17.0,290.0,2.0,4.8,1.61,2.0,349.0,4.25,0.006,2
15,1.6475,162.0,3.0,205.0,0.41,0.76,2.257,0.0,0.24,0.0,2.2,610.0,8.0,51.0,1.05,27.0,17.0,187.0,4.0,6.98,2.73,1.0,963.0,4.25,0.0834,0
16,1.875,242.0,2.0,215.0,0.37,0.805,0.35,0.0,0.205,0.0,1.555,575.0,1.0,59.0,0.67,22.0,17.0,140.5,9.0,6.94,1.995,0.0,742.0,4.25,0.004,0
17,1.6475,174.0,10.0,557.0,0.29,1.0,5.006,0.0,0.1,0.37,1.42,1957.0,12.0,5.0,1.58,30.0,17.0,249.0,4.0,6.21,3.66,2.0,315.0,4.25,0.006,3
18,1.6475,0.0,11.0,543.0,0.18,0.51,4.678,0.0,0.12,0.52,1.06,3014.0,0.0,32.0,0.8,36.0,17.0,245.0,30.0,4.27,1.36,4.0,854.0,4.25,0.0011,2
19,1.6475,25.0,5.0,402.0,0.06,0.51,4.767,0.0,0.17,0.3,2.32,1640.0,9.0,0.0,0.83,21.0,17.0,293.0,7.0,4.96,1.65,2.0,466.0,4.25,0.0031,2
20,1.6475,163.0,2.0,228.0,0.42,0.76,2.139,0.0,0.25,0.0,2.3,615.0,0.0,42.0,1.05,26.0,17.0,173.0,7.0,7.05,2.69,1.0,797.0,4.25,0.0543,0
21,0.69,332.0,2.0,169.0,0.415,0.67,0.754,0.0,0.21,0.0,1.675,324.0,0.5,0.0,0.765,25.0,17.0,184.5,6.5,7.21,2.875,0.0,528.0,5.0,0.004,0
22,1.6475,150.0,10.0,648.0,0.25,1.02,5.073,0.0,0.05,0.57,1.16,2188.0,16.0,0.0,1.69,30.0,17.0,230.0,2.0,6.13,4.23,2.0,332.0,4.25,0.017,3
23,1.6475,0.0,8.0,579.0,0.14,0.59,4.542,0.0,0.1,0.6,0.75,3030.0,0.0,0.0,0.89,36.0,17.0,252.0,4.0,4.2,1.55,3.0,450.0,4.25,0.0026,2
24,1.6475,18.0,6.0,511.0,0.04,0.61,4.769,0.0,0.12,0.41,2.16,1840.0,5.0,0.0,1.01,22.0,17.0,304.0,2.0,4.86,1.99,2.0,296.0,4.25,0.0056,2
25,1.6475,149.0,2.0,248.0,0.44,0.85,2.089,0.0,0.24,0.0,2.18,662.0,1.0,30.0,1.15,27.0,17.0,169.0,7.0,7.05,2.94,0.0,986.0,4.25,0.0551,0
26,1.385,234.0,3.0,246.0,0.395,0.855,0.3005,0.0,0.19,0.0,1.49,576.0,0.5,0.0,0.705,21.0,17.0,133.0,6.0,7.08,2.08,1.0,788.5,4.25,0.004,0
27,1.6475,257.0,15.0,773.0,0.1,0.62,5.324,0.0152,0.11,0.44,1.83,2209.0,24.0,0.0,1.08,38.0,17.0,355.0,9.0,6.4,2.04,3.0,1114.0,4.25,0.001,2
28,1.6475,0.0,10.0,637.0,0.18,0.68,4.899,0.0,0.12,0.7,0.54,3470.0,4.0,81.0,1.03,35.0,17.0,269.0,30.0,4.26,1.85,4.0,3127.0,4.25,0.0001,1
29,1.6475,24.0,8.0,522.0,0.4,1.32,4.433,0.0216,0.18,0.69,0.97,1861.0,4.0,0.0,2.25,22.0,17.0,394.0,5.0,4.94,5.46,2.0,534.0,4.25,0.0007,3
30,1.6475,162.0,3.0,226.0,0.46,0.86,2.103,0.0,0.23,0.0,2.19,641.0,0.0,0.0,1.18,37.0,17.0,170.0,4.0,7.26,3.0,1.0,735.0,4.25,0.0293,0
31,0.52,168.0,2.0,171.0,0.42,0.65,0.734,0.0,0.22,0.0,1.69,333.0,1.0,0.0,0.74,25.0,17.0,182.0,3.0,7.23,2.86,0.0,393.0,7.75,0.004,0
32,1.315,152.0,3.0,252.5,0.45,0.815,2.059,0.0,0.255,0.0,2.215,629.5,1.0,0.0,1.135,22.0,17.0,162.0,4.5,7.22,2.92,0.0,501.0,3.25,0.004,0
33,1.6475,0.0,8.0,601.0,0.14,0.71,5.259,0.0,0.09,0.68,0.28,3646.0,0.0,0.0,1.03,36.0,17.0,255.0,3.0,4.25,1.97,5.0,372.0,4.25,0.001,1
34,1.6475,35.0,8.0,557.0,0.07,0.61,4.929,0.0,0.06,0.46,1.38,2056.0,3.0,0.0,0.99,21.0,17.0,348.0,4.0,4.97,2.01,2.0,407.0,4.25,0.001,2
35,1.6475,202.0,5.0,241.0,0.48,0.84,2.113,0.0,0.24,0.0,2.19,636.0,3.0,315.0,1.18,27.0,17.0,161.0,32.0,7.17,2.96,0.0,10160.0,4.25,0.0218,0
36,1.005,253.0,2.5,300.0,0.4,0.815,0.255,0.0,0.195,0.01,1.42,572.5,1.0,11.5,0.705,21.0,17.0,132.5,4.5,6.91,2.005,0.0,570.5,4.25,0.004,0
37,1.6475,146.8,18.0,815.0,0.25,1.47,6.017,0.0,0.08,0.75,0.66,2339.0,43.0,14.0,2.08,36.0,17.0,302.0,4.0,6.43,5.59,3.0,541.0,4.25,0.004,3
38,1.6475,0.0,9.0,723.0,0.11,0.71,4.604,0.0,0.09,0.67,0.23,3736.0,2.0,0.0,1.0,38.0,17.0,280.0,6.0,4.21,2.0,4.0,1147.0,4.25,0.0011,1
39,1.6475,24.0,9.0,630.0,0.09,0.69,5.218,0.0,0.07,0.57,0.96,2512.0,3.0,0.0,1.06,22.0,17.0,438.0,3.0,4.96,2.35,2.0,476.0,4.25,0.0011,2
40,1.6475,152.0,3.0,249.0,0.47,0.83,2.008,0.0,0.24,0.0,2.19,618.0,2.0,21.0,1.22,26.0,17.0,148.0,4.0,7.42,2.93,0.0,733.0,4.25,0.0225,0
41,0.495,326.0,2.5,184.0,0.44,0.675,0.7085,0.0,0.195,0.0,1.695,331.0,1.5,0.0,0.81,24.5,17.0,181.5,3.0,7.29,2.935,0.0,299.5,9.0,0.004,0
42,1.8,318.0,2.0,245.0,0.485,0.855,2.053,0.0,0.255,0.0,2.195,608.0,2.5,62.0,1.235,26.5,17.0,166.5,4.0,7.23,3.02,0.5,516.5,3.1,0.004,0
43,1.6475,238.0,21.0,869.0,0.25,1.47,6.804,0.0,0.12,0.79,0.75,2268.0,50.0,0.0,2.06,35.0,17.0,310.0,6.0,6.35,5.56,2.0,718.0,4.25,0.005,3
44,1.6475,29.0,9.0,621.0,0.1,0.68,5.244,0.0,0.11,0.67,0.73,2408.0,4.0,37.0,1.06,21.0,17.0,445.0,4.0,4.94,2.29,2.0,451.0,4.25,0.0015,2
45,1.6475,161.0,3.0,290.0,0.51,0.84,2.019,0.0,0.55,0.0,2.25,621.0,3.0,0.0,1.3,27.0,17.0,159.0,4.0,7.24,3.0,0.0,512.0,4.25,0.018,0
46,3.29,256.0,2.5,245.5,0.43,0.88,0.228,0.0,0.19,0.0,1.415,606.5,1.5,13.0,0.76,21.0,17.0,133.5,4.5,7.03,2.15,0.0,542.0,4.25,0.004,0
47,1.6475,166.0,1.0,272.0,0.48,0.87,2.026,0.0,0.26,0.0,2.19,614.0,2.0,848.0,1.25,28.0,17.0,158.0,4.0,7.41,3.06,0.0,658.0,4.25,0.0101,0
48,0.31,165.0,2.0,195.0,0.35,0.69,0.683,0.0,0.2,0.265,1.36,320.0,3.0,21.0,0.98,25.0,17.0,182.0,3.0,7.14,2.545,0.0,549.0,7.0,0.004,0
49,1.77,333.0,3.0,229.5,0.48,0.835,1.9915,0.0,0.235,0.0,2.165,608.5,1.5,28.0,1.205,27.0,17.0,168.0,6.0,7.28,2.96,0.0,738.0,4.5,0.004,0
50,1.6475,242.0,21.0,887.0,0.19,1.45,6.493,0.0,0.06,0.94,0.5,2651.0,40.0,46.0,1.89,35.0,17.0,298.0,6.0,6.33,5.74,3.0,1006.0,4.25,0.011,3
51,1.6475,0.0,10.0,740.0,0.06,0.81,4.153,0.0,0.07,0.73,0.1,4336.0,3.0,0.0,1.01,42.0,17.0,316.0,4.0,4.17,2.29,4.0,520.0,4.25,0.0025,1
52,1.6475,159.0,3.0,245.0,0.47,0.82,1.947,0.0,0.24,0.0,2.11,611.0,2.0,37.0,1.2,27.0,17.0,171.0,5.0,7.27,2.91,0.0,713.0,4.25,0.0187,0
53,1.305,251.0,2.5,263.5,0.405,0.835,0.229,0.0,0.18,0.0,1.385,603.0,2.0,35.0,0.735,21.0,17.0,137.0,3.5,7.02,2.04,0.0,690.5,4.25,0.004,0
54,1.6475,241.0,23.0,920.0,0.19,1.47,6.333,0.0217,0.06,1.08,0.46,2999.0,41.0,22.0,1.79,36.0,17.0,317.0,4.0,6.11,5.96,3.0,763.0,4.25,0.006,3
55,1.6475,0.0,8.0,713.0,0.06,0.79,3.982,0.0,0.04,0.74,0.12,4295.0,3.0,0.0,0.94,42.0,17.0,326.0,2.0,4.44,2.24,4.0,512.0,4.25,0.0008,1
56,1.6475,44.0,10.0,756.0,0.09,0.75,4.877,0.0,0.15,0.76,0.44,2796.0,4.0,11.0,1.07,23.0,17.0,318.0,4.0,4.89,2.57,2.0,634.0,4.25,0.0002,2
57,1.6475,179.0,3.0,266.0,0.44,0.81,1.998,0.0,0.24,0.0,2.12,608.0,1.0,27.0,1.18,26.0,17.0,158.0,2.0,7.4,2.91,0.0,987.0,4.25,0.0234,0
